Date,Type,Number,Payee,Memo,Bank,Payment,Deposit,Balance,Status
Opening,Opening,,Opening balance,,,0,4266250,4266250,
"Jan 1, 2026",Check,#4401,Ayala Land — Warehouse rent,January warehouse,Operating,85000,0,4181250,Cleared
"Jan 8, 2026",Transfer,,Transfer Operating → Payroll,,Operating,255000,0,3926250,Posted
"Jan 8, 2026",Transfer,,Transfer Operating → Payroll,,Payroll,0,255000,4181250,Posted
"Jan 13, 2026",Check,#1101,Staff payroll — 1st half January,Semi-monthly payroll,Payroll,126400,0,4054850,Cleared
"Jan 16, 2026",Cash Sale,RCPT-2026-018,Walk-in — Harbor stall,Same-day cash.,Operating,0,9800,4064650,Posted
"Jan 22, 2026",Check,#4402,Meralco,January warehouse power,Operating,17820,0,4046830,Cleared
"Jan 27, 2026",Check,#1102,Staff payroll — 2nd half January,Semi-monthly payroll,Payroll,126400,0,3920430,Cleared
"Jan 30, 2026",Receipt,RCPT-2026-001,Laguna Foods Inc.,Payment INV-2026-001,Operating,0,172800,4093230,Posted
"Feb 1, 2026",Check,#4403,Ayala Land — Warehouse rent,February warehouse,Operating,85000,0,4008230,Cleared
"Feb 5, 2026",Receipt,Chk 3301,Metro Clinic Group,Payment INV-2026-018,Operating,0,96000,4104230,Posted
"Feb 8, 2026",Transfer,,Transfer Operating → Payroll,,Operating,255000,0,3849230,Posted
"Feb 8, 2026",Transfer,,Transfer Operating → Payroll,,Payroll,0,255000,4104230,Posted
"Feb 13, 2026",Check,#1103,Staff payroll — 1st half February,Semi-monthly payroll,Payroll,126400,0,3977830,Cleared
"Feb 21, 2026",Cash Sale,RCPT-2026-019,Walk-in — Harbor stall,Same-day cash.,Operating,0,11200,3989030,Posted
"Feb 22, 2026",Check,#4404,Meralco,February warehouse power,Operating,16440,0,3972590,Cleared
"Feb 27, 2026",Check,#1104,Staff payroll — 2nd half February,Semi-monthly payroll,Payroll,126400,0,3846190,Cleared
"Feb 28, 2026",Receipt,Chk 2188,Cebu Marine Supply,Payment INV-2026-013,Operating,0,78600,3924790,Posted
"Mar 1, 2026",Check,#4405,Ayala Land — Warehouse rent,March warehouse,Operating,85000,0,3839790,Cleared
"Mar 2, 2026",Receipt,Chk 1042,Laguna Foods Inc.,Payment INV-2026-002,Reserve,0,168400,4008190,Posted
"Mar 3, 2026",Vendor Pay,BILL-2026-001,Harbor Packaging Co.,Cartons and tape — February,Operating,14200,0,3993990,Paid
"Mar 8, 2026",Transfer,,Transfer Operating → Payroll,,Operating,255000,0,3738990,Posted
"Mar 8, 2026",Transfer,,Transfer Operating → Payroll,,Payroll,0,255000,3993990,Posted
"Mar 13, 2026",Check,#1105,Staff payroll — 1st half March,Semi-monthly payroll,Payroll,126400,0,3867590,Cleared
"Mar 20, 2026",Receipt,RCPT-2026-014,Davao Harvest Co.,Payment INV-2026-022,Reserve,0,62250,3929840,Posted
"Mar 22, 2026",Check,#4406,Meralco,March warehouse power,Operating,19100,0,3910740,Cleared
"Mar 27, 2026",Check,#1106,Staff payroll — 2nd half March,Semi-monthly payroll,Payroll,126400,0,3784340,Cleared
"Mar 30, 2026",Receipt,RCPT-2026-003,Laguna Foods Inc.,Payment INV-2026-003,Operating,0,191200,3975540,Posted
"Apr 1, 2026",Check,#4407,Ayala Land — Warehouse rent,April warehouse,Operating,85000,0,3890540,Cleared
"Apr 8, 2026",Vendor Pay,BILL-2026-010,Delta Freight Lines,Southbound hauling — Davao March,Reserve,18400,0,3872140,Paid
"Apr 8, 2026",Transfer,,Transfer Operating → Payroll,,Operating,255000,0,3617140,Posted
"Apr 8, 2026",Transfer,,Transfer Operating → Payroll,,Payroll,0,255000,3872140,Posted
"Apr 10, 2026",Receipt,Chk 5510,Davao Harvest Co.,Payment INV-2026-022,Reserve,0,62250,3934390,Posted
"Apr 12, 2026",Vendor Pay,BILL-2026-006,Santos & Co. CPAs,Q1 bookkeeping retainer,Operating,22000,0,3912390,Paid
"Apr 13, 2026",Check,#1107,Staff payroll — 1st half April,Semi-monthly payroll,Payroll,126400,0,3785990,Cleared
"Apr 18, 2026",Cash Sale,RCPT-2026-020,Walk-in — Harbor stall,Held in safekeeping.,Safekeeping,0,8450,3794440,Posted
"Apr 22, 2026",Check,#4408,Meralco,April warehouse power,Operating,18640,0,3775800,Cleared
"Apr 27, 2026",Check,#1108,Staff payroll — 2nd half April,Semi-monthly payroll,Payroll,126400,0,3649400,Cleared
"Apr 30, 2026",Receipt,Chk 1044,Laguna Foods Inc.,Payment INV-2026-004,Operating,0,175000,3824400,Posted
"May 1, 2026",Check,#4409,Ayala Land — Warehouse rent,May warehouse,Operating,85000,0,3739400,Cleared
"May 6, 2026",Receipt,Chk 4412,Cebu Marine Supply,Payment INV-2026-014,Operating,0,102400,3841800,Posted
"May 8, 2026",Transfer,,Transfer Operating → Payroll,,Operating,255000,0,3586800,Posted
"May 8, 2026",Transfer,,Transfer Operating → Payroll,,Payroll,0,255000,3841800,Posted
"May 8, 2026",Receipt,Chk 3308,Metro Clinic Group,Payment INV-2026-019,Operating,0,96000,3937800,Posted
"May 13, 2026",Check,#1109,Staff payroll — 1st half May,Semi-monthly payroll,Payroll,126400,0,3811400,Cleared
"May 22, 2026",Check,#4410,Meralco,May warehouse power,Operating,21300,0,3790100,Cleared
"May 27, 2026",Check,#1110,Staff payroll — 2nd half May,Semi-monthly payroll,Payroll,126400,0,3663700,Cleared
"May 27, 2026",Cash Sale,RCPT-2026-021,Walk-in — Harbor stall,Same-day cash.,Operating,0,13100,3676800,Posted
"May 30, 2026",Receipt,RCPT-2026-005,Laguna Foods Inc.,Payment INV-2026-005,Reserve,0,188600,3865400,Posted
"Jun 1, 2026",Check,#4411,Ayala Land — Warehouse rent,June warehouse,Operating,85000,0,3780400,Cleared
"Jun 5, 2026",Vendor Pay,BILL-2026-002,Harbor Packaging Co.,Cartons and tape — May,Operating,16800,0,3763600,Paid
"Jun 8, 2026",Transfer,,Transfer Operating → Payroll,,Operating,255000,0,3508600,Posted
